Fixed strain rate: 0.01
'Temp'	'150.0 (C)'	'700.0 (C)'	'750.0 (C)'	'800.0 (C)'	'850.0 (C)'	'900.0 (C)'	'950.0 (C)'	'1000.0 (C)'	'1050.0 (C)'	'1100.0 (C)'	'1150.0 (C)'	'1200.0 (C)'	'1250.0 (C)'
0.0	326.133	263.976	262.167	260.555	259.108	257.804	204.5461	148.2156	109.0703	81.3988	61.5043	47.0135	36.1317
0.02	532.3893	392.3293	378.5065	364.2987	349.7579	286.5312	204.5459	148.2155	109.0702	81.3988	61.5043	47.0135	36.1317
0.04	617.0195	440.8465	421.7735	402.1909	382.2163	286.5254	204.5417	148.2124	109.068	81.3971	61.503	47.0125	36.131
0.06	672.6315	472.16	449.5031	426.2869	402.6803	286.4993	204.5231	148.199	109.0582	81.3897	61.4973	47.0084	36.1277
0.08	715.1028	495.7751	470.3237	444.2913	406.5749	286.4294	204.4732	148.1631	109.0319	81.3698	61.4822	46.9971	36.1191
0.1	749.8843	514.9281	487.156	458.7949	406.3681	286.2839	204.3692	148.0883	108.9765	81.3284	61.4506	46.9724	36.1011
0.12	779.555	531.1387	501.3662	471.0047	406.0024	286.0266	204.1854	147.955	108.8768	81.2553	61.3949	46.9285	36.0694
0.14	805.5553	545.2501	513.7101	481.5862	405.4223	285.6172	203.8946	147.742	108.7197	81.1406	61.3073	46.8591	36.0201
0.16	828.7777	557.7819	524.6526	490.9475	404.5809	285.026	203.4697	147.4342	108.4925	80.9746	61.1814	46.7582	35.9434
0.18	849.8164	569.0781	534.5007	499.358	403.4726	284.2439	202.9142	147.0336	108.1967	80.7475	61.0186	46.6258	35.8388
0.2	869.0882	579.3792	543.4688	507.0051	402.077	283.2595	202.2102	146.52	107.822	80.4646	60.8006	46.4611	35.7073
0.22	886.898	588.8602	551.7125	514.0248	400.417	282.0923	201.3748	145.9191	107.3737	80.1368	60.5435	46.2703	35.5532
0.24	903.4755	597.6525	559.3487	520.519	398.5341	280.7645	200.4272	145.2299	106.8725	79.7566	60.2599	46.0625	35.383
0.26	918.9988	605.8577	566.4676	526.5663	396.4712	279.3106	199.3895	144.4757	106.3145	79.3401	59.958	45.8164	35.2048
0.28	933.6088	613.5558	573.1401	532.2283	394.275	277.7634	198.2851	143.6757	105.7257	78.9081	59.6104	45.5507	35.027
0.3	947.4192	620.8112	579.4234	537.5547	391.9891	276.152	197.1361	142.8443	105.1155	78.439	59.2654	45.2874	34.8072
0.32	960.5227	627.6764	585.3638	542.5859	389.6417	274.4979	195.9592	141.9942	104.4791	77.9847	58.9219	45.0356	34.5831
0.34	972.9967	634.1949	590.9998	547.3552	387.2707	272.8295	194.7625	141.1259	103.8493	77.493	58.5458	44.7435	34.3694
0.36	984.9057	640.4032	596.3636	550.4728	384.897	271.1561	193.5657	140.2567	103.2094	77.0331	58.1935	44.4585	34.1708
0.38	996.3049	646.332	601.4824	547.0967	382.5328	269.4896	192.3779	139.3937	102.5713	76.5434	57.8396	44.1952	33.9856
0.4	1007.2411	652.0077	606.3794	543.7557	380.1989	267.8471	191.2054	138.5419	101.957	76.0885	57.4723	43.9414	33.748
0.42	1017.755	657.4529	611.0747	540.4655	377.9	266.2256	190.0524	137.7054	101.3283	75.6153	57.1375	43.6502	33.5287
0.44	1027.882	662.6873	615.5856	537.2373	375.6399	264.6334	188.9162	136.8875	100.7243	75.1703	56.7923	43.3845	33.3291
0.46	1037.6528	667.7282	619.9272	534.0796	373.4306	263.0811	187.8022	136.0833	100.1365	74.7237	56.4464	43.1449	33.1498
0.48	1047.0947	672.5905	624.1128	530.9848	371.267	261.5517	186.7118	135.2878	99.5472	74.2883	56.1337	42.9034	32.984
0.5	1056.2318	677.2878	628.1542	527.9648	369.1569	260.069	185.649	134.516	98.9981	73.8757	55.8116	42.6353	32.7639
0.6	1098.0238	698.6727	646.5275	513.9596	359.3618	253.1679	180.7244	130.9583	96.3539	71.9182	54.3177	41.495	31.913
0.7	1134.6459	717.2815	662.4823	501.6441	350.7537	247.104	176.3923	127.8142	94.0586	70.1848	53.0405	40.4969	31.1314
0.8	1167.3552	733.8026	676.622	490.7766	343.1553	241.7472	172.5698	125.0506	92.0234	68.6558	51.8828	39.6206	30.4234
0.9	1196.9887	748.6918	686.6465	481.1074	336.391	236.9895	169.1734	122.5735	90.1972	67.3016	50.8566	38.8625	29.8594
