Fixed strain rate: 1.0
'Temp'	'700.0 (C)'	'750.0 (C)'	'800.0 (C)'	'850.0 (C)'	'900.0 (C)'	'950.0 (C)'	'1000.0 (C)'	'1050.0 (C)'	'1100.0 (C)'	'1150.0 (C)'	'1200.0 (C)'	'1250.0 (C)'
0.0	276.416	274.523	272.834	271.32	269.954	268.716	267.589	230.4841	172.0198	129.9824	99.342	76.3598
0.02	407.3564	394.2411	379.6236	364.6613	349.417	333.9628	313.2086	230.484	172.0197	129.9823	99.3419	76.3598
0.04	457.7954	438.8227	418.6931	398.1522	377.3287	356.3592	313.2055	230.4817	172.018	129.981	99.3409	76.359
0.06	490.1479	467.3355	443.4879	419.226	394.729	370.1808	313.1921	230.4717	172.0107	129.9752	99.3366	76.3557
0.08	514.4797	488.721	461.9952	434.8728	407.5738	380.3199	313.1529	230.4426	171.989	129.9585	99.3241	76.346
0.1	534.1817	505.9974	476.8938	447.4197	417.8304	388.3791	313.081	230.3893	171.9485	129.9277	99.3012	76.3282
0.12	550.8382	520.5745	489.4295	457.9445	426.4052	395.0924	312.9468	230.2907	171.8734	129.8706	99.2587	76.2953
0.14	565.3255	533.2318	500.2891	467.0389	433.7943	400.8601	312.7315	230.1348	171.7542	129.78	99.1917	76.2435
0.16	578.1827	544.4479	509.8934	475.0646	440.2996	405.925	312.4203	229.907	171.5819	129.6487	99.0956	76.1691
0.18	589.7661	554.5393	518.5196	482.2595	446.1195	410.4462	312.005	229.5953	171.3515	129.473	98.9652	76.0709
0.2	600.3242	563.7264	526.3609	488.7887	451.3913	414.5336	311.4696	229.2057	171.0645	129.2538	98.7893	75.9423
0.22	610.038	572.1694	533.5573	494.7718	456.2143	418.2664	310.8328	228.7345	170.7082	128.9971	98.5804	75.7766
0.24	619.0431	579.9887	540.2136	500.2985	460.6628	421.7037	310.0988	228.1942	170.3033	128.6806	98.346	75.5889
0.26	627.4443	587.2768	546.4108	505.4375	464.7935	424.8908	309.2804	227.591	169.8591	128.34	98.0967	75.3871
0.28	635.3243	594.1067	552.2123	510.2427	468.6511	425.6139	308.4004	226.9511	169.3701	127.9887	97.813	75.18
0.3	642.7493	600.5371	557.669	514.7577	472.2715	424.3367	307.4743	226.2638	168.8679	127.5882	97.5086	74.9693
0.32	649.7735	606.6157	562.8226	519.0175	475.6836	423.0199	306.5164	225.5566	168.3348	127.1954	97.2106	74.7139
0.34	656.4416	612.382	567.7072	523.0512	478.9113	421.6668	305.539	224.8425	167.802	126.7897	96.9104	74.4662
0.36	662.7911	617.8691	572.3517	526.8832	481.9746	420.3052	304.5521	224.1172	167.2569	126.3728	96.5787	74.2325
0.38	668.8537	623.105	576.78	530.5339	484.8904	418.9458	303.5637	223.3832	166.7135	125.9817	96.2681	74.0166
0.4	674.6565	628.1134	581.013	534.0208	487.6729	417.5831	302.5799	222.66	166.1762	125.5523	95.9778	73.7523
0.42	680.2229	632.915	585.0684	537.3589	490.3345	416.2382	301.6043	221.9512	165.6345	125.1567	95.6429	73.5012
0.44	685.573	637.5274	588.9616	540.5612	492.8859	414.9155	300.6438	221.2364	165.1154	124.7539	95.3362	73.2721
0.46	690.7246	641.9664	592.7059	543.639	495.3363	413.6037	299.6975	220.5357	164.585	124.3548	95.0577	73.0648
0.48	695.6932	646.2454	596.3133	546.6023	497.6938	412.3191	298.7676	219.8578	164.0855	123.9913	94.746	72.8266
0.5	700.4925	650.3767	599.7941	549.4598	499.9657	411.0662	297.8585	219.1848	163.572	123.5887	94.4466	72.585
0.6	722.3347	669.154	615.5909	562.4064	510.2401	405.1555	293.571	216.041	161.2245	121.8213	93.1074	71.5358
0.7	741.3326	685.4536	629.2721	573.591	519.092	399.8787	289.7492	213.2175	159.129	120.2277	91.8969	70.6035
0.8	758.1927	699.8945	641.3695	583.4596	526.8843	395.1565	286.3259	210.6974	157.2429	118.8123	90.8006	69.7837
0.9	773.3823	712.8852	652.2334	592.3055	533.8547	390.9098	283.2487	208.4285	155.546	117.5205	89.826	69.0534
1.0	787.2276	724.7104	662.1077	600.3323	540.1683	387.0617	280.4562	206.3763	154.0349	116.3637	88.9577	68.3333
1.1	799.9656	735.5768	671.1691	607.6872	537.2798	383.5436	277.9226	204.5032	152.6176	115.3096	88.1344	67.723
1.2	811.7744	745.6395	679.5499	614.4804	532.7676	380.3228	275.578	202.792	151.3354	114.3389	87.3728	67.1611
1.3	822.7913	755.018	687.352	620.7968	528.6018	377.3499	273.4237	201.2061	150.1613	113.442	86.6964	66.6175
1.4	833.1246	763.8064	694.6556	626.7028	524.7402	374.5916	271.4253	199.7337	149.0714	112.6148	86.0836	66.1496
1.5	842.8613	772.0803	701.5249	632.2517	521.144	372.032	269.5638	198.3602	148.0511	111.8591	85.4617	65.6804
1.6	852.0723	779.9012	708.0122	637.4868	517.7758	369.6196	267.8287	197.0907	147.0906	111.1344	84.9485	65.2547
1.7	860.8164	787.32	714.1609	642.444	514.6123	367.3627	266.192	195.8864	146.1845	110.4372	84.3907	64.8847
1.8	869.1428	794.3794	720.0069	647.1531	511.6351	365.2394	264.6477	194.7455	145.3307	109.8137	83.9398	64.4681
1.9	877.0929	801.1153	725.5809	651.6394	508.8246	363.2312	263.1963	193.6718	144.5288	109.2049	83.4387	64.1415
2.0	884.7024	807.5584	730.9088	655.9242	506.1596	361.3266	261.8187	192.6566	143.7811	108.6241	83.0417	63.8042
2.1	892.0018	813.7353	736.013	660.0261	503.6251	359.5182	260.5025	191.6941	143.0725	108.1004	82.588	63.4562
2.2	899.0176	819.6687	740.913	663.961	501.2177	357.8025	259.2595	190.7805	142.3685	107.5607	82.2044	63.175
2.3	905.7731	825.3789	745.6256	667.743	498.9229	356.1627	258.0785	189.9136	141.7205	107.0909	81.8377	62.9088
2.4	912.2885	830.8833	750.1657	671.3841	496.7221	354.5898	256.9439	189.0774	141.1073	106.5965	81.4513	62.5887
